sample_id,source_video,camera_id,location_id,recording_session,split,class_labels,sha256,phash
crop_00001,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,9af15eaa8e0497dc865a583ddd3afccc938741c389462d3cc7e0cd2252c79e07,0b70bedd4dfcddd7
crop_00002,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,0a0ab348360e5ce78ef97819fe02e9d8c06316273e5c8a5a091ac3aab17f0fd9,996d7d7347be45d6
crop_00003,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,3a30e70d524bd637a5fc5d5f67096dfd3b4fdfdefd72bafa04982dd6ea654cd0,92260ec26b88d63d
crop_00004,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,cf75c686d3ac48e4ae11dff2acbf0a9d2be7d8a4de6e46b722aed7c9e2623ece,0fe2d6f0186cd9d4
crop_00005,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,ad7af500be90f89e2bb559590431025fde4d22508f57d2389b0a53adc02284a8,76dd5475588ce48e
crop_00006,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,0fe70420fd6ca1ba0bef145c7a44c20f040ab72a15ba7ad1760dc739d8aa41e2,31f8e07d10152177
crop_00007,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,d14bedee5c6095246a797410097091d34e9f523df853c1bbb76931e601a2e9c4,82dec4f5548c8a8b
crop_00008,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,1750d53b2aa4ba661aed4f9dba4933aa97112bf048b71267ee51d895b2085aba,041014a6d5871221
crop_00009,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,1a14c107e74e8376cd1d79d8da73fa1f925e00b37662c77eec4c3a81cfc1571e,a03e55a3284e39ba
crop_00010,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,8bade99d275d83ef15900d0b943abbfd33854459ff1720bdd852feda0fc5e691,e8decedf1333a17f
crop_00011,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,218af203a4a37545e7cf54580dcb6699f6ca2338331340c19611de4c95441434,1b16a7208bdae91c
crop_00012,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,0b4fb250e1bc4ddf6ec6d14a1f892e9c30f0df55e537609c6091db755ef52d6b,a14349ddef33b234
crop_00013,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,b6142633b05308697aa746724bb2ac96aa95d59f681dd314752adc2d5968b399,8b6596634c523f5e
crop_00014,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,64aab821075c799ab7c8370432b446709177acc70d62f36d074a254d997587f5,5e229387e4a384c9
crop_00015,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,baadef18522b643609f18003c50ae65b77832af8962d2f6af48ac9d7b873235a,9dd9d60bb64d5435
crop_00016,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,06d8d68c32510a43d0d861eaa61d5da2f7784d69dee0820e61aacafa44469618,019d26b1b5bf56f2
crop_00017,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,0890a9d39c7f1dc557234153a2a848bb4abe7ed93b7ba4cf53e671ddd291af2e,568f034cf40257eb
crop_00018,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,561cff622c68cda5470d66ff1b3df25b663c9f6bce397d1e1f80e7bb3250d8d6,92f25ed42f27ea85
crop_00019,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,9a8ad31d1c0f4c341972e67a911a358bfb3ab0f27aac252432b176a50d21f986,49e161c3c5a854f4
crop_00020,rec_session_01.mp4,cam_01,site_a,session_01,train,helmet;vest,08373f2a977dfe524c88d2cdea8e493e4e39297271494b0f6f90d18ec651940c,5dd8c7f536cbf0d2
